target,no_feedback_status,with_feedback_status,no_feedback_complete,with_feedback_complete,no_feedback_proof_status,with_feedback_proof_status,no_feedback_no_spec_reason,with_feedback_no_spec_reason,initial_classification
core::ptr::byte_offset_from_unsigned,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::byte_sub,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::cast,trivial_equality,trivial_equality,False,False,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::ptr::cast_const,trivial_equality,skip_no_spec,False,False,strict_faithful_admissible,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::cast_mut,trivial_equality,skip_no_spec,False,False,strict_faithful_admissible,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::copy,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::copy_from,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::copy_from_nonoverlapping,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::copy_nonoverlapping,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::copy_to,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::copy_to_nonoverlapping,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::dangling,trivial_equality,skip_no_spec,False,False,strict_faithful_admissible,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::dangling_mut,trivial_equality,skip_no_spec,False,False,not_proved,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::drop_in_place,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::eq,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::ptr::expose_provenance,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::fn_addr_eq,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
core::ptr::from_mut,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::from_ref,trivial_equality,skip_no_spec,False,False,not_proved,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::hash,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::is_aligned,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::ptr::is_empty,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::ptr::is_null,complete,complete,True,True,known_mismatch_or_inadmissible,known_mismatch_or_inadmissible,,,unsafe_or_representation_sensitive
core::ptr::len,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::ptr::map_addr,typecheck_or_checker_failure,trivial_equality,False,False,no_valid_spec,strict_faithful_admissible,unsafe_or_representation_sensitive,,unsafe_or_representation_sensitive
core::ptr::offset,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::offset_from,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::offset_from_unsigned,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::read,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::read_unaligned,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::read_volatile,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::replace,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::slice_from_raw_parts,trivial_equality,skip_no_spec,False,False,not_proved,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::slice_from_raw_parts_mut,trivial_equality,skip_no_spec,False,False,not_proved,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::sub,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::swap,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::swap_nonoverlapping,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::with_addr,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::with_exposed_provenance,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::with_exposed_provenance_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::without_provenance,trivial_equality,skip_no_spec,False,False,strict_faithful_admissible,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::without_provenance_mut,trivial_equality,skip_no_spec,False,False,not_proved,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::wrapping_add,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::ptr::wrapping_byte_add,trivial_equality,trivial_equality,False,False,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::ptr::wrapping_byte_offset,trivial_equality,skip_no_spec,False,False,strict_faithful_admissible,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::wrapping_byte_sub,trivial_equality,skip_no_spec,False,False,strict_faithful_admissible,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::wrapping_offset,complete,complete,True,True,not_proved,not_proved,,,unsafe_or_representation_sensitive
core::ptr::wrapping_sub,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::ptr::write,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::write_bytes,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::write_unaligned,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::ptr::write_volatile,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::result::Result::and,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,suitable_now
core::result::Result::and_then,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
core::result::Result::as_deref,unknown,skip_no_spec,False,False,strict_faithful_admissible,no_valid_spec,,associated_type_or_projection,associated_type_or_projection
core::result::Result::as_deref_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::result::Result::as_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::result::Result::cloned,unknown,skip_no_spec,False,False,strict_faithful_admissible,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::result::Result::copied,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::result::Result::expect_err,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,suitable_now
core::result::Result::flatten,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,suitable_now
core::result::Result::inspect,complete,skip_no_spec,True,False,strict_faithful_admissible,no_valid_spec,,,higher_order_contract
core::result::Result::inspect_err,complete,skip_no_spec,True,False,strict_faithful_admissible,no_valid_spec,,,higher_order_contract
core::result::Result::is_err_and,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
core::result::Result::is_ok_and,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
core::result::Result::iter,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::result::Result::iter_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::result::Result::map_or,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
core::result::Result::map_or_default,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
core::result::Result::map_or_else,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
core::result::Result::or,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,suitable_now
core::result::Result::or_else,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
core::result::Result::transpose,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,needs_new_vstd_abstraction,,suitable_now
core::result::Result::unwrap_err_unchecked,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::result::Result::unwrap_or,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,needs_functional_trait_semantics,,suitable_now
core::result::Result::unwrap_or_default,unknown,skip_no_spec,False,False,strict_faithful_admissible,no_valid_spec,,needs_functional_trait_semantics,suitable_now
core::result::Result::unwrap_or_else,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
core::result::Result::unwrap_unchecked,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,unsafe_or_representation_sensitive
core::slice::ChunksExact::remainder,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
core::slice::ChunksExactMut::into_remainder,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::Iter::as_slice,complete,complete,True,True,not_proved,not_proved,,,needs_new_vstd_abstraction
core::slice::IterMut::as_slice,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
core::slice::IterMut::into_slice,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::RChunksExact::remainder,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
core::slice::RChunksExactMut::into_remainder,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::align_to,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::slice::align_to_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::array_windows,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::as_array,complete,complete,True,True,not_proved,not_proved,,,suitable_now
core::slice::as_chunks,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,needs_pointer_identity_or_provenance_model,,suitable_now
core::slice::as_chunks_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::as_chunks_unchecked,unknown,complete,False,True,not_proved,not_proved,,,unsafe_or_representation_sensitive
core::slice::as_chunks_unchecked_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::as_flattened,typecheck_or_checker_failure,complete,False,True,no_valid_spec,known_mismatch_or_inadmissible,needs_pointer_identity_or_provenance_model,,suitable_now
core::slice::as_flattened_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::as_mut_array,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::as_mut_ptr,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::slice::as_mut_ptr_range,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::slice::as_ptr,trivial_equality,skip_no_spec,False,False,not_proved,no_valid_spec,,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::slice::as_ptr_range,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::slice::as_rchunks,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,needs_pointer_identity_or_provenance_model,,suitable_now
core::slice::as_rchunks_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::assume_init_drop,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::slice::assume_init_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::assume_init_ref,complete,complete,True,True,not_proved,not_proved,,,unsafe_or_representation_sensitive
core::slice::binary_search,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,needs_new_vstd_abstraction,,suitable_now
core::slice::binary_search_by,typecheck_or_checker_failure,typecheck_or_checker_failure,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::binary_search_by_key,typecheck_or_checker_failure,typecheck_or_checker_failure,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::chunk_by,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::chunk_by_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::chunks,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::chunks_exact,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::chunks_exact_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::chunks_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::clone_from_slice,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_functional_trait_semantics,needs_functional_trait_semantics,suitable_now
core::slice::contains,typecheck_or_checker_failure,complete,False,True,no_valid_spec,not_proved,needs_pointer_identity_or_provenance_model,,suitable_now
core::slice::element_offset,unknown,skip_no_spec,False,False,not_proved,no_valid_spec,,needs_pointer_identity_or_provenance_model,suitable_now
core::slice::ends_with,typecheck_or_checker_failure,complete,False,True,no_valid_spec,not_proved,needs_new_vstd_abstraction,,suitable_now
core::slice::eq_ignore_ascii_case,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,needs_pointer_identity_or_provenance_model,,suitable_now
core::slice::escape_ascii,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::fill,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_functional_trait_semantics,determinism_checker_unsupported,suitable_now
core::slice::fill_with,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::first_chunk,typecheck_or_checker_failure,complete,False,True,no_valid_spec,not_proved,needs_pointer_identity_or_provenance_model,,suitable_now
core::slice::first_chunk_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::from_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::from_raw_parts,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::slice::from_raw_parts_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::from_ref,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,suitable_now
core::slice::get_disjoint_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::get_disjoint_unchecked_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::get_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::get_unchecked,unknown,complete,False,True,not_proved,not_proved,,,unsafe_or_representation_sensitive
core::slice::get_unchecked_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::is_ascii,typecheck_or_checker_failure,complete,False,True,no_valid_spec,not_proved,needs_new_vstd_abstraction,,suitable_now
core::slice::is_sorted,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,needs_new_vstd_abstraction,,suitable_now
core::slice::is_sorted_by,typecheck_or_checker_failure,typecheck_or_checker_failure,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::is_sorted_by_key,typecheck_or_checker_failure,typecheck_or_checker_failure,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::iter_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::last_chunk,complete,complete,True,True,not_proved,not_proved,,,suitable_now
core::slice::last_chunk_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::make_ascii_lowercase,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_pointer_identity_or_provenance_model,determinism_checker_unsupported,suitable_now
core::slice::make_ascii_uppercase,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,determinism_checker_unsupported,suitable_now
core::slice::partition_point,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
core::slice::rchunks,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::rchunks_exact,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::rchunks_exact_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::rchunks_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::reverse,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_pointer_identity_or_provenance_model,determinism_checker_unsupported,suitable_now
core::slice::rotate_left,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,determinism_checker_unsupported,suitable_now
core::slice::rotate_right,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,determinism_checker_unsupported,suitable_now
core::slice::rsplit,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::rsplit_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::rsplitn,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::rsplitn_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::select_nth_unstable,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::select_nth_unstable_by,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::select_nth_unstable_by_key,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::sort_unstable,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,complex_result_or_pattern_model,complex_result_or_pattern_model,complex_result_or_pattern_model
core::slice::sort_unstable_by,typecheck_or_checker_failure,typecheck_or_checker_failure,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::sort_unstable_by_key,typecheck_or_checker_failure,typecheck_or_checker_failure,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::split,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::split_at_checked,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,suitable_now
core::slice::split_at_mut_checked,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::split_at_mut_unchecked,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::split_at_unchecked,complete,complete,True,True,known_mismatch_or_inadmissible,known_mismatch_or_inadmissible,,,unsafe_or_representation_sensitive
core::slice::split_first,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,suitable_now
core::slice::split_first_chunk,complete,complete,True,True,not_proved,not_proved,,,suitable_now
core::slice::split_first_chunk_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::split_first_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::split_inclusive,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::slice::split_inclusive_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::slice::split_last,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,suitable_now
core::slice::split_last_chunk,typecheck_or_checker_failure,complete,False,True,no_valid_spec,not_proved,needs_pointer_identity_or_provenance_model,,suitable_now
core::slice::split_last_chunk_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::split_last_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::slice::split_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
